country,year,pop,continent,lifeExp,gdpPercap,total_emissions,per_capita_emissions,region
Argentina,2007,40301927,Americas,75.32,12779.37964,149476.04,3.819,south
Brazil,2007,190010647,Americas,72.39,9065.800825,311623.799,1.667,south
Canada,2007,33390141,Americas,80.653,36319.23501,540431.495,16.762,north
Chile,2007,16284741,Americas,78.553,13171.63885,54434.634,3.343,south
Colombia,2007,44227550,Americas,72.889,7006.580419,53585.3,1.238,south
Costa Rica,2007,4133884,Americas,78.782,9645.06142,5463.059,1.286,south
Cuba,2007,11416987,Americas,78.273,8948.102923,25051.431,2.22,south
Dominican Republic,2007,9319622,Americas,72.235,6025.374752,17522.139,1.897,south
Ecuador,2007,13755680,Americas,74.994,6873.262326,23926.725,1.742,south
El Salvador,2007,6939688,Americas,71.878,5728.353514,6252.815,1.037,south
Guatemala,2007,12572928,Americas,70.259,5186.050003,10621.597,0.811,south
Haiti,2007,8502814,Americas,60.916,1201.637154,1980.992,0.214,south
Honduras,2007,7483763,Americas,70.198,3548.330846,7192.737,0.976,south
Jamaica,2007,2780132,Americas,72.567,7320.880262,10281.648,3.746,south
Mexico,2007,108700891,Americas,76.195,11977.57496,412385.135,3.854,north
Nicaragua,2007,5675356,Americas,72.899,2749.320965,4032.083,0.75,south
Panama,2007,3242173,Americas,75.537,9809.185636,6776.118,2.035,south
Paraguay,2007,6667147,Americas,71.752,4172.838464,3472.665,0.599,south
Peru,2007,28674757,Americas,71.421,7408.905561,28632.888,1.037,south
Trinidad and Tobago,2007,1056608,Americas,69.819,18008.50924,17175.823,13.243,south
Uruguay,2007,3447496,Americas,76.384,10611.46299,5151.871,1.549,south
